countryname_en,countrycode,fraction,participation ,population_2000,population_2014,population_2020,population_2030,population_2050,"average_monthly_disposable_salary_2014 - Quelle: Nationmaster, OECD",source for salary,unemployment_2013,gdp_pc_ppp_2012,gdp_pc_ppp_2014,gdp_2012,gdp_2014,gdp_growth_2014,important_industry_de,important_industry_en,Wirtschaftsleistung in der wichtigsten Industrie zum BIP,Wem gehört die wichtigste Industrie,wichtigste Handelspartner,co2_kt_2012,co2_t_pc_2012,total_primary_energy_production_2012,total_primary_energy_production_2008,total_recoverable_coal_2011,climate_change_performance_index,labeled
Afghanistan,AFG,D,X,19701940,31627506,36443000,43852000,55955000,213.58,nationmaster,8,1933.396257,1945.502421,20536542737,20841951232,1.998533202,Landwirtschaft,agriculture,,,,12251.4,0.41,0.02597,0.01608,72.75255,,
Albania,ALB,D,X,3089027,2894475,2961000,3045000,2876000,434.19,nationmaster,16,9666.697322,10428.45587,,13370191506,1.9,Bekleidung und Schuhe,"garment, shoes",,,,4668.1,1.61,0.07944,0.05283,875.23522,,
Algeria,DZA,D,X,31183658,38934334,43008000,48274000,56461000,346.48,nationmaster,9.800000191,13370.07927,14167.33968,,214063173188,4.099998839,Kohlenwasserstoffe (Gasindustrie),hydrocarbons (gas),,,,121755.4,3.25,7.19786,7.37697,65.03637,39,
American Samoa,ASM,D,,57522,55434,56000,57000,57000,#N/A,,,,,,,,Thunfisch,tuna,,,,#N/A,#N/A,0,0,NA,,
Andorra,AND,A,X,65399,72786,70000,71000,72000,2731.12,nationmaster,,,,,,,Parfüm-Kosmetikindustrie,"perfume,  cosmetic",,,,491.4,6.2,#N/A,#N/A,#N/A,,
Angola,AGO,D,X,15058638,24227524,29245000,39351000,65473000,2650.03,nationmaster,6.800000191,6755.170619,7227.440771,,131400635026,3.901265128,Kohlenwasserstoffe (Öl),hydrocarbons (oil),,,,29710,1.31,3.93895,4.25717,NA,,
Antigua and Barbuda,ATG,D,X,77648,90900,96000,105000,114000,#N/A,,,20946.70078,21799.80015,,1269117037,3.221505237,"Handarbeit, Bettwäsche","handcraft, bedding",,,,513.4,5.76,0,0,NA,,
Argentina,ARG,C,X,37057453,42980026,45517000,49365000,55445000,1018.58,nationmaster,7.5,,,,540197457444,0.4692570602,Kohlenwasserstoffe (Öl),hydrocarbons (oil),,,,190034.9,4.51,3.11505,3.64272,606.27125,48,
Armenia,ARM,D,X,3076098,3006154,3038000,2993000,2729000,312.89,nationmaster,16.20000076,7398.453052,8077.533287,,10881605059,3.400000001,Maschinenbau,machine construction,,,,4961.5,1.67,0.04682,0.04412,179.67675,,
Aruba,ABW,D,,90858,103441,105000,107000,102000,2833.33,nationmaster,,,,,,,Tourismus,tourisme,,,,2438.6,23.82,0.00086,0,NA,,
Australia,AUS,B,X,19153000,23490736,25222000,27912000,32851000,3780.69,OECD,5.699999809,43011.45689,43901.55485,,1453770210672,2.474910319,"Kohlenwasserstoffe (Kohle), Eisen, Gold. Uranium","hydrocarbons (coal), steel, gold, uranium",,,,369039.5,16.24,12.92492,11.7773,84216.58787,60,
Austria,AUT,A,X,8011566,8534492,8717000,8952000,9157000,2597.75,OECD,4.900000095,44872.63517,46164.94432,,436343622435,0.3007275886,"Maschinen, Fahrzeuge","machines, automobile",,,,65202.9,7.73,0.59681,0.54093,367.06968,36,
Azerbaijan,AZE,D,X,8048600,9537823,10003000,10433000,10345000,524.84,nationmaster,5.5,16173.44724,17515.62376,,75198010965,2,Kohlenwasserstoffe (Gas und Öl),hydrocarbons (gas and oil),,,,33457.7,3.6,2.6413,2.51846,NA,,
Bahamas,BHS,D,X,297891,383054,410000,446000,489000,#N/A,,13.60000038,23224.10896,23491.12335,,8510500000,1.022786105,,,,,,1906.8,5.12,0,0,NA,,
Bahrain,BHR,B,X,666855,1361930,1486000,1642000,1822000,1226.79,nationmaster,7.400000095,40973.70856,45478.93884,,33868989362,4.506795379,Kohlenwasserstoffe (Ölindustrie),hydrocarbons (oilindustry),,,,23439.5,17.58,0.59656,0.5396,NA,,
Bangladesh,BGD,D,X,131280739,159077513,170467000,186460000,202209000,340.22,nationmaster,4.300000191,2763.510692,3124.366886,,173818932216,6.116224166,"Reisanbau, Textil","rice, garment",,,,57069.5,0.37,0.85009,0.69992,322.97723,,TRUE
Barbados,BRB,D,X,269838,283380,288000,290000,282000,1625,nationmaster,12.19999981,15625.03932,13575.12052,,4348000000,0.2074688797,Tourismus/Zucker,"tourisme, sugar",,,,1565.8,5.56,0.00289,0.00355,NA,,
Belarus,BLR,D,X,10005000,9470000,9246000,8621000,7140000,502.19,nationmaster,5.800000191,17210.43917,18184.86358,,76139250365,1.587801619,Kohlenwasserstoffe (Ölraffinerien),hydrocarbons (oil refinery),,,,63303.4,6.69,0.07429,0.08208,110.23114,38,
Belgium,BEL,A,X,10251250,11225207,11452000,11752000,12091000,2358.91,OECD,8.399999619,41397.18314,42725.31057,,533382785676,1.06654615,"Eisen, Stahl, Metallverarbeitung","iron, steel, metal",,,,97765.9,8.79,0.49792,0.50293,NA,16,
Belize,BLZ,B,X,247312,351706,398000,472000,588000,1441,,14.60000038,8118.8756,,,,,"Kohlenwasserstoffe (Öl), Kleidungsindustrie","hydrocarbons (oil), garment",,,,550.1,1.63,0.01068,0.00977,NA,,
